Month,Line,Day Type,Crew Availability,External Factors,Infrastructure & Equipment,Operating Conditions,Planned ROW Work,Police & Medical
2021-01-01,E,1,12,2,127,34,32,29
2021-01-01,E,2,4,2,15,4,7,4
2021-01-01,F,1,11,2,55,35,53,25
2021-01-01,F,2,9,0,14,29,12,11
2021-01-01,G,1,4,0,30,23,21,11
2021-01-01,G,2,5,0,3,36,11,7
2021-01-01,JZ,1,9,3,17,26,17,21
2021-01-01,JZ,2,5,1,4,5,7,22
2021-01-01,L,1,9,0,19,2,16,14
2021-01-01,L,2,6,0,15,0,6,2
2021-01-01,M,1,15,0,78,44,7,22
2021-01-01,M,2,2,0,5,3,1,0
2021-01-01,N,1,19,0,57,38,42,35
2021-01-01,N,2,15,1,22,32,14,21
2021-01-01,Q,1,15,3,44,53,23,40
2021-01-01,Q,2,15,1,30,26,6,15
2021-01-01,R,1,14,1,21,25,27,35
2021-01-01,R,2,8,0,8,4,8,5
2021-01-01,S 42nd,2,0,0,1,0,0,2
2021-01-01,S Fkln,1,1,0,0,0,0,0
2021-01-01,S Fkln,2,0,0,2,0,0,0
2021-01-01,S Rock,1,0,19,3,2,0,0
2021-01-01,S Rock,2,0,7,1,1,0,0
2021-02-01,1,1,128,2,30,25,16,48
2021-02-01,1,2,66,0,14,19,7,25
2021-02-01,2,1,126,7,26,51,21,55
2021-02-01,2,2,63,1,17,59,9,33
2021-02-01,3,1,74,1,17,27,14,28
2021-02-01,3,2,40,0,12,39,10,24
2021-02-01,4,1,110,2,33,31,25,40
2021-02-01,4,2,53,0,11,14,10,15
2021-02-01,5,1,98,3,27,23,15,38
2021-02-01,5,2,18,0,4,30,0,21
2021-02-01,6,1,96,2,38,42,15,59
2021-02-01,6,2,62,0,8,9,5,28
2021-02-01,7,1,107,6,50,3,7,8
2021-02-01,7,2,14,0,10,4,9,5
2021-02-01,A,1,146,43,62,55,27,47
2021-02-01,A,2,48,10,17,13,11,21
2021-02-01,B,1,70,2,31,27,2,19
2021-02-01,B,2,0,0,0,0,0,0
2021-02-01,C,1,50,2,10,15,0,27
