Month,division,Line,Day Type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2015-03-01,B DIVISION,F,1,4844,8450,0.573254438
2015-03-01,B DIVISION,G,1,3856,6093,0.632857377
2015-03-01,B DIVISION,JZ,1,4816,5996,0.803202135
2015-03-01,B DIVISION,L,1,10286,11187,0.919460088
2015-03-01,B DIVISION,M,1,3945,5852,0.674128503
2015-03-01,B DIVISION,N,1,4222,5852,0.721462748
2015-03-01,B DIVISION,Q,1,4474,5891,0.759463589
2015-03-01,B DIVISION,R,1,3612,6248,0.578104994
2015-03-01,B DIVISION,S Fkln,1,2572,2596,0.990755008
2015-03-01,B DIVISION,S Rock,1,3530,3701,0.953796271
2015-04-01,A DIVISION,1,1,7690,9932,0.774265002
2015-04-01,A DIVISION,2,1,3290,7054,0.466402041
2015-04-01,A DIVISION,3,1,4494,6704,0.670346062
2015-04-01,A DIVISION,4,1,3541,8080,0.438242574
2015-04-01,A DIVISION,5,1,3237,7332,0.441489362
2015-04-01,A DIVISION,6,1,5109,12252,0.416993144
2015-04-01,A DIVISION,7,1,10597,13293,0.797186489
2015-04-01,A DIVISION,S 42nd,1,12780,12875,0.992621359
2015-04-01,B DIVISION,A,1,5750,8070,0.712515489
2015-04-01,B DIVISION,B,1,3694,4532,0.815092674
2015-04-01,B DIVISION,C,1,3737,4353,0.858488399
2015-04-01,B DIVISION,D,1,4568,5826,0.784071404
2015-04-01,B DIVISION,E,1,6230,8696,0.716421343
2015-04-01,B DIVISION,F,1,5582,8962,0.622852042
2015-04-01,B DIVISION,G,1,3999,6164,0.648767034
2015-04-01,B DIVISION,JZ,1,4770,5998,0.795265088
2015-04-01,B DIVISION,L,1,9972,10792,0.924017791
2015-04-01,B DIVISION,M,1,4247,5852,0.725734792
2015-04-01,B DIVISION,N,1,4294,5882,0.730023801
2015-04-01,B DIVISION,Q,1,4613,5892,0.782926001
2015-04-01,B DIVISION,R,1,3759,6248,0.601632522
2015-04-01,B DIVISION,S Fkln,1,2584,2588,0.998454405
2015-04-01,B DIVISION,S Rock,1,3556,3700,0.961081081
2015-05-01,A DIVISION,1,1,7104,9031,0.786623851
2015-05-01,A DIVISION,2,1,2740,6185,0.443007276
2015-05-01,A DIVISION,3,1,4087,6092,0.670879842
2015-05-01,A DIVISION,4,1,3058,7348,0.416167665
2015-05-01,A DIVISION,5,1,2663,6624,0.402022947
2015-05-01,A DIVISION,6,1,5603,11210,0.499821588
2015-05-01,A DIVISION,7,1,10280,12345,0.8327258
2015-05-01,A DIVISION,S 42nd,1,11295,11640,0.970360825
2015-05-01,B DIVISION,A,1,4963,7369,0.673497082
2015-05-01,B DIVISION,B,1,3178,4120,0.771359223
2015-05-01,B DIVISION,C,1,3177,4000,0.79425
2015-05-01,B DIVISION,D,1,3979,5297,0.751179913
2015-05-01,B DIVISION,E,1,5281,7908,0.667804755
2015-05-01,B DIVISION,F,1,4630,7789,0.59442804
2015-05-01,B DIVISION,G,1,3741,5603,0.66767803
2015-05-01,B DIVISION,JZ,1,3935,5454,0.721488816
2015-05-01,B DIVISION,L,1,9561,10036,0.952670387
2015-05-01,B DIVISION,M,1,3614,5320,0.679323308
2015-05-01,B DIVISION,N,1,3450,5320,0.648496241
2015-05-01,B DIVISION,Q,1,3922,5732,0.68422889
2015-05-01,B DIVISION,R,1,3142,5680,0.553169014
2015-05-01,B DIVISION,S Fkln,1,2360,2360,1.0
2015-05-01,B DIVISION,S Rock,1,3150,3334,0.944811038
2015-06-01,A DIVISION,1,1,8011,9929,0.806828482
2015-06-01,A DIVISION,2,1,2916,6834,0.426690079
2015-06-01,A DIVISION,3,1,4469,6508,0.686693301
2015-06-01,A DIVISION,4,1,3566,8271,0.431144964
2015-06-01,A DIVISION,5,1,2884,7145,0.403638908
2015-06-01,A DIVISION,6,1,5923,12491,0.474181411
2015-06-01,A DIVISION,7,1,11459,13571,0.844374033
2015-06-01,A DIVISION,S 42nd,1,12594,12870,0.978554779
2015-06-01,B DIVISION,A,1,5429,8069,0.672821911
2015-06-01,B DIVISION,B,1,3486,4532,0.769196823
2015-06-01,B DIVISION,C,1,3502,4400,0.795909091
2015-06-01,B DIVISION,D,1,4276,5825,0.734077253
2015-06-01,B DIVISION,E,1,6265,8692,0.720777727
2015-06-01,B DIVISION,F,1,5033,8374,0.601026988
2015-06-01,B DIVISION,G,1,3888,6165,0.630656934
2015-06-01,B DIVISION,JZ,1,4071,6005,0.677935054
2015-06-01,B DIVISION,L,1,9816,10843,0.905284515
2015-06-01,B DIVISION,M,1,4096,5852,0.699931647
2015-06-01,B DIVISION,N,1,3769,5852,0.644053315
2015-06-01,B DIVISION,Q,1,4162,5891,0.706501443
2015-06-01,B DIVISION,R,1,3475,6248,0.556177977
2015-06-01,B DIVISION,S Fkln,1,2593,2596,0.998844376
2015-06-01,B DIVISION,S Rock,1,3553,3701,0.960010808
2015-07-01,A DIVISION,1,1,7293,9932,0.734293194
2015-07-01,A DIVISION,2,1,2868,6929,0.413912541
2015-07-01,A DIVISION,3,1,4310,6564,0.656611822
2015-07-01,A DIVISION,4,1,3456,8084,0.427511133
